Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
36,"Kearney , NE",Nebraska,,5 Seasons,,Larson, Kyle
24,"Port St. Lucie , FL",Louisville,Cleveland Browns,4th season,DB,Pryor, Calvin
37,"Los Angeles , CA",Utah State,,6 Seasons,,Jimoh, Ade
57,"Burbank , CA",Indiana,,7 Seasons,,Laufenberg, Babe
28,"Lincolnton , GA",Vanderbilt,,3 Seasons,,Barden, Brandon
28,"Rome , GA",Clemson,Tennessee Titans,2nd season,DE,Brown, Kourtnei
,"Santa Monica , CA",UCLA,,1 Season,,Farr, Mel Jr.
31,,Texas,,1 Season,,Tanner, Charlie
61,"Hazelton , PA",Pennsylvania,,1 Season,,Iwanowski, Mark
49,"Texarkana , TX",Arkansas-Pine Bluff,,2 Seasons,,Finn, Mike
,"Duluth , MN",Minnesota,,9 Seasons,,O'Donnell, Dick
,"Milburn , OK",Texas Tech,,2 Seasons,,Earhart, Ralph
41,,East Tennessee State,,3 Seasons,,Edwards, Brian
,"Wilmette , IL",Dartmouth,,2 Seasons,,Ghee, Milt
32,"Mayfield Heights , OH",Central Florida,Detroit Lions,11th season,K,Prater, Matt
29,"Atlanta , GA",East Carolina,New York Giants,7th season,WR,Harris, Dwayne
41,"Jacksonville , FL",Clemson,,2 Seasons,,Abdullah, Rahim
71,,San Diego State,,1 Season,,Washington, Teddy
21,"Jacksonville , FL",Virginia Tech,Miami Dolphins,Rookie,WR,Ford, Isaiah
72,"Berkeley , CA",Fresno State,,1 Season,,Frazier, Curt
27,,Michigan,,1 Season,,Gallon, Jeremy
29,"Lowmoor , VA",Virginia,New Orleans Saints,9th season,TE,Phillips, John
45,"Cleveland , OH",Notre Dame,,6 Seasons,,Peterson, Tony
,"Paducah , KY",Centre,,1 Season,,Lemon, Cliff
,"Sioux City , IA",Portland,,1 Season,,Barrett, Emmett
61,"Kerrville , TX",West Texas A&M,,2 Seasons,,Fifer, Bill
,,No College,,5 Seasons,,Underwood, Jack
,"Massillon , OH",Carthage,,3 Seasons,,Wager, John
,"Mineral , VA",North Carolina A&T,,2 Seasons,,Jackson, Bob
,"Worcester , MA",Holy Cross,,2 Seasons,,Garvey, Franny
27,"Fort Worth , TX",East Central (OK),Detroit Lions,5th season,DE,Bryant, Armonty
70,"Fort Worth , TX",Texas Christian,,1 Season,,Thornton, Bubba
,Croatia,Georgetown,,2 Seasons,,Perpich, George
59,Istanbul Turkey,Indiana State,,14 Seasons,,Ilkin, Tunch
72,"Chicago , IL",Illinois,,6 Seasons,,Grabowski, Jim
32,"Denver , CO",Colorado,,3 Seasons,,Daniels, Brian
,"Waltham , MA",Dartmouth,,8 Seasons,,Youngstrom, Swede
63,"Washington , DC",Cincinnati,,2 Seasons,,Marvaso, Tommy
90,"Port View , PA",Auburn,,1 Season,,Klasnic, John
29,"Jenks , OK",Stanford,,2 Seasons,,Beeler, Chase
33,"Boston , MA",Stanford,,1 Season,,Jenkins, Julian
26,"Pittsburgh , PA",West Virginia,Cincinnati Bengals,4th season,DE,Clarke, Will
,"Austin , MN",North Dakota,,1 Season,,Young, Sam
45,,Edinboro,,1 Season,,Kegarise, Mike
69,"Houma , LA",Grambling State,,13 Seasons,,Lewis, Frank
36,"Youngstown , OH",Notre Dame,,6 Seasons,,Givens, David
33,"Baton Rouge , LA",Stanford,,3 Seasons,,Harrison, Brandon
,,Texas A&M,,1 Season,,Mattingly, Fran
72,"Memphis , TN",Arizona State,,1 Season,,Lewis, Hal
24,,Fayetteville State,,1 Season,,Reed, Marcus
,"Dover , NJ",Colgate,,10 Seasons,,MacKinnon, Jacque
29,,Texas Christian,,1 Season,,Ibiloye, Alex
43,"Cleveland , OH",Allegheny,,2 Seasons,,Anderson, Ronnie
29,"Marion , IN",Iowa,,5 Seasons,,Edds, A.J.
60,"Tucson , AZ",Arizona,,6 Seasons,,Garcia, Frank
32,,Walsh,,0 Season,,Kizer, Rayshaun
73,"Homestead , PA",Waynesburg,,1 Season,,Theofiledes, Harry
55,"Johnson City , NY",Syracuse,,2 Seasons,,Kimmel, Jamie
48,"Chicago , IL",UCLA,,1 Season,,Richardson, Paul
26,"Concord , CA",Arkansas,Detroit Lions,4th season,C,Swanson, Travis
,"Evergreen Park , IL",Tulsa,,4 Seasons,,Baldwin, Tom
72,"Dunsmuir , CA",Notre Dame,,4 Seasons,,Eddy, Nick
,"Calumet , MI",Detroit Mercy,,1 Season,,Bachor, Rip
29,,Georgia,,1 Season,,Vance, Vincent
72,Blockwood Wales,Newport (Wales),,1 Season,,Watson, Allan
55,"Chappaqua , NY",Colgate,,3 Seasons,,Erenberg, Rich
60,"Miami , FL",Oklahoma,,3 Seasons,,Peacock, Elvis
,"Elmwood Park , IL",Illinois,,15 Seasons,,Nitschke, Ray
31,"Burton , MI",Grand Valley State,Chicago Bears,9th season,LB,Skuta, Dan
25,,South Carolina,Washington Redskins,5th season,FS,Swearinger, D.J.
23,,Michigan,Houston Texans,Rookie,DE,Godin, Matt
,"Arlington , NE",Nebraska,,1 Season,,Rhea, Hughie
26,"West Allis , WI",Wisconsin,Detroit Lions,4th season,WR,Abbrederis, Jared
51,"Lufkin , TX",Stephen F. Austin St.,,5 Seasons,,Alexander, Bruce
30,"Fort Lewis , WA",Oregon,Carolina Panthers,10th season,RB,Stewart, Jonathan
55,"Casa Grande , AZ",Texas,,2 Seasons,,Cade, Mossy
32,,Georgia,,1 Season,,Verdun-Wheeler, Danny
39,"Caldwel , ID",Brigham Young,,1 Season,,Olsen, Hans
,"Cincinnati , OH",Notre Dame,,3 Seasons,,Maxwell, Joey
,"Calumet , MI",Detroit Mercy,,5 Seasons,,Harvey, Norm
32,"Los Angeles , CA",Washington,,5 Seasons,,Lewis, Roy
,"Waterbury , CT",Washington (Md),,1 Season,,Keenan, Ed
23,,James Madison,Atlanta Falcons,Rookie,DB,Reynolds, Taylor
102,"Ringgold , LA",Louisiana Tech,,2 Seasons,,Giddens, Wimpy
64,"Warren , OH",Montana State,,8 Seasons,,Kollar, Bill
54,"Tacoma , WA",Boston College,,12 Seasons,,DeOssie, Steve
30,"Memphis , TN",Mississippi,New York Giants,8th season,G,Jerry, John
61,"Leakesville , MS",Mississippi State,,1 Season,,Packer, Walter
,"Detroit , MI",Michigan State,,1 Season,,Ridler, Don
39,"San Clemente , CA",Nevada,,3 Seasons,,Insley, Trevor
67,"Chicago , IL",South Dakota,,6 Seasons,,Sanders, Deac
34,,Wake Forest,,0 Season,,Andrews, Bryan
65,"Cincinnati , OH",Michigan,,3 Seasons,,Haslerig, Clint
60,"Los Angeles , CA",Washington,,14 Seasons,,Glasgow, Nesby
48,"Eunice , LA",Grambling State,,3 Seasons,,Ned, Derrick
24,,Fordham,,1 Season,,Light, Dan
,"New York , NY",North Carolina,,3 Seasons,,Kahn, Eddie
,"Danevang , TX",Southern Methodist,,1 Season,,Kirkgard, Heinie
31,,Connecticut,,1 Season,,Deleston, Dahna
70,"Nashua , NH",Massachusetts,,15 Seasons,,Landry, Greg
32,"Forest , VA",Liberty,New York Giants,9th season,RB,Jennings, Rashad
32,"Cuero , TX",Texas A&M,Pittsburgh Steelers,8th season,C,Wallace, Cody
58,"New Orleans , LA",Southern Methodist,,2 Seasons,,Garcia, Eddie
,"Bridgeville , PA",Duquesne,,1 Season,,Yurchey, John
38,"Naperville , IL",Northern Illinois,,8 Seasons,,McCareins, Justin
30,"Columbus , OH",Oklahoma State,,5 Seasons,,Lacey, Jacob
66,"San Jose , CA",UCLA,,5 Seasons,,Pifferini, Bob
,"Universal , IN",Northwestern,,4 Seasons,,Vanzo, Fred
73,"Henderson , KY",Kentucky,,5 Seasons,,Ball, Sam
36,,Troy,,1 Season,,Tellis, Henry
,"Spartanburg , SC",Clemson,,1 Season,,Tinsley, Sid
,"Philadelphia , PA",Western Maryland,,3 Seasons,,Kaplan, Bernie
70,"Anderson , SC",Clemson,,1 Season,,Cagle, Johnny
35,,Missouri-Rolla,,0 Season,,Fischer, Brett
23,"Los Angeles , CA",UCLA,Tennessee Titans,2nd season,OLB,Wallace, Aaron
44,"Augusta , GA",East Carolina,,2 Seasons,,Scott, Walter
23,"Beach , ND",North Dakota State,Cincinnati Bengals,Rookie,OT,Lechler, Landon
26,"Pine Bluff , AR",Arkansas,Buffalo Bills,5th season,TE,Gragg, Chris
,"Portland , OR",Oregon,,1 Season,,Emmons, Frank
42,"Walnut Creek , CA",Washington State,,7 Seasons,,Sanderson, Scott
24,"San Diego , CA",Texas A&M,,1 Season,,Baggs, Donnie
37,"Dallas , TX",Notre Dame,,9 Seasons,,Battle, Arnaz
64,"Mckeesport , PA",Michigan,,4 Seasons,,Franks, Dennis
25,"Cheraw , SC",East Carolina,,1 Season,,Pegues, Lee
58,"Aurora , IL",Michigan,,9 Seasons,,Becker, Kurt
51,"Westminster , CA",Arizona,,12 Seasons,,Parker, Glenn
62,"Chicago , IL",Yale,,12 Seasons,,Fencik, Gary
36,"Norfolk , VA",North Carolina,,3 Seasons,,Reid, Dexter
25,,Utah,Carolina Panthers,1st season,LB,Blechen, Brian
27,"Tuscumbia , AL",Arkansas State,San Francisco 49ers,5th season,DB,Jones, Don
30,"Bellaire , OH",Ball State,,2 Seasons,,Davis, Nate
34,"Carthage , TX",Sam Houston State,,0 Season,,Roberts, Corey
46,"Atlanta , GA",Clemson,,2 Seasons,,O'Neal, Robert
40,"Aurora , IL",Michigan,,2 Seasons,,Ziemann, Chris
62,"Provo , UT",Brigham Young,,6 Seasons,,Nielsen, Gifford
,"Abilene , KS",Kansas,,1 Season,,Schaake, Elmer
,"Evanston , IL",No College,,1 Season,,Falcon, Dick
41,"Fullerton , CA",UCLA,,2 Seasons,,Nevadomsky, Jason
58,"Greenville , MS",Mississippi,,2 Seasons,,Toler, Kenneth
53,"Huntsville , AL",Alabama,,1 Season,,Johnson, Hoss
45,"Bellaire , OH",Ohio State,,16 Seasons,,Galloway, Joey
79,"Cincinnati , OH",Tennessee,,1 Season,,Schaffer, Joe
77,"Fort Worth , TX",North Texas,,2 Seasons,,Perkins, Art
63,"Stillwater , MN",Nebraska,,8 Seasons,,Nelson, Bob
32,"Griffin , GA",Troy,,6 Seasons,,Martin, Sherrod
,", IL",Iowa,,1 Season,,Fisher, Darrell
25,"San Francisco , CA",Oregon State,Atlanta Falcons,3rd season,RB,Ward, Terron
,"Chicago , IL",Illinois,,5 Seasons,,O'Connell, Tommy
28,,Western Illinois,,1 Season,,Lamphear, Mike
70,"Bessemer , AL",Alcorn State,,9 Seasons,,Watkins, Larry
65,"Columbus , GA",Louisville,,3 Seasons,,Reese, Steve
25,,Ohio State,,1 Season,,Hall, Jordan
60,"St. Petersburg , FL",Hillsdale,,1 Season,,Johnson, Nate
47,,Idaho,,1 Season,,McCall, Kris
23,"San Antonio , TX",Texas Christian,Cleveland Browns,2nd season,SS,Kindred, Derrick
,"Mcpherson , KS",No College,,1 Season,,Magerkurth, George
21,,Iowa State,New York Giants,Rookie,DB,Tribune, Nigel
28,,Arkansas,,1 Season,,Madison, Isaac
21,"Kingsland , GA",Florida,Detroit Lions,Rookie,LB,Davis, Jarrad
,"Oshkosh , WI",Wisconsin,,7 Seasons,,Seibold, Champ
70,"Jacksonville , FL",Florida State,,5 Seasons,,Sellers, Ron
28,,Texas A&M,,1 Season,,Mathis, Jonathan
,"Miamisburg , OH",No College,,10 Seasons,,Kinderdine, Hobby
,"Milbank , SD",Drake,,9 Seasons,,Manders, Pug
,"Chicago , IL",Indiana,,7 Seasons,,Randolph, Clare
22,"Richmond , CA",Texas,Indianapolis Colts,2nd season,DT,Ridgeway, Hassan
25,"Mount Pleasant , TN",Tennessee,,1 Season,,Richardson, Antonio
26,,Massachusetts,,1 Season,,Dima, Anthony
,"Holyoke , MA",Detroit Mercy,,5 Seasons,,Barrett, John
77,"Menominee , WI",Northern Michigan,,1 Season,,Neumann, Tom
,"Pryor , OK",Arkansas,,3 Seasons,,Van Sickle, Clyde
58,"Appalachia , VA",North Carolina,,3 Seasons,,Davis, Paul
34,,New Mexico,,0 Season,,Parker, Marcus
64,"Miami , FL",Florida,,11 Seasons,,Cameron, Glenn
45,"Dayton , OH",Michigan State,,1 Season,,Hannah, Shane
58,"New Braunfels , TX",Texas,,8 Seasons,,Tausch, Terry
,"Mishawaka , IN",Illinois,,3 Seasons,,Maggioli, Chick
42,"Bristol , PA",Washington State,,3 Seasons,,Jackson, Chris
31,,Washington State,,1 Season,,Dillon, Charles
,"Natchez , MS",Alcorn State,,8 Seasons,,Rice, Floyd
22,"San Antonio , TX",Texas A&M,Los Angeles Rams,Rookie,WR,Reynolds, Josh
42,Leone American Samoa,Arizona,,8 Seasons,,Salave'a, Joe
,"Meriden , CT",Holy Cross,,1 Season,,Manfreda, Tony
,"Salt Lake City , UT",Utah,,1 Season,,Olsen, Ralph
26,"Upper Marlboro , MD",West Virginia,Seattle Seahawks,5th season,LB,Garvin, Terence
61,"Dallas , TX",Arizona State,,8 Seasons,,Jefferson, John
22,,Utah,Los Angeles Rams,Rookie,DB,Hatfield, Dominique
,"Los Angeles , CA",San Jose State,,1 Season,,Gill, Randy
32,"Venice , FL",Murray State,,3 Seasons,,Harper, Rod
38,"Springfield , IL",USC,,5 Seasons,,Ohalete, Ifeanyi
23,,Iowa State,Atlanta Falcons,Rookie,DB,Jones, Jarnor
58,"Castro Valley , CA",San Jose State,,2 Seasons,,Thompson, Gary
28,"Cincinnati , OH",Wisconsin,Seattle Seahawks,6th season,QB,Wilson, Russell
27,"Charlotte , NC",Wofford,Carolina Panthers,4th season,WR,Bersin, Brenton
52,"Merced , CA",Idaho,,1 Season,,Cable, Tom
38,"Emmetsburg , IA",Iowa,,2 Seasons,,Nelson, Bruce
,"Mcmechen , WV",West Virginia,,6 Seasons,,Seabright, Charlie
25,"Youngstown , OH",Ohio State,Green Bay Packers,4th season,C,Linsley, Corey
33,,Texas Tech,,1 Season,,Bake, Dek
75,"Plainfield , NJ",Penn State,,5 Seasons,,Liske, Pete
44,"Dallas , TX",Texas Christian,,2 Seasons,,Oliver, Jimmy
,"Woodstock , IL",Purdue,,1 Season,,Young, Glenn
26,,Rutgers,,1 Season,,Toler, Lew
44,"Plantation , FL",Mississippi,,1 Season,,Calicchio, Lonny
63,"Phoenixville , PA",Iowa,,13 Seasons,,Devlin, Joe
54,"Houston , TX",Texas A&M,,5 Seasons,,Darwin, Matt
38,"Phoenix , AZ",Arizona State,,10 Seasons,,Kosier, Kyle
33,,Washington State,,1 Season,,Dildine, Steve
21,"Portland , OR",Eastern Washington,San Francisco 49ers,Rookie,WR,Bourne, Kendrick
49,"Saugatuck , MI",Michigan State,,7 Seasons,,Vanderbeek, Matt
,"Bronx , NY",Fordham,,4 Seasons,,Kloppenberg, Harry
38,"Odenton , MD",Delaware State,,6 Seasons,,McCants, Darnerien
71,"Atlanta , GA",Grambling State,,9 Seasons,,Atkins, Bob
,"Ochiltree Co. , TX",Texas Christian,,2 Seasons,,Ellis, Drew
50,,Pittsburgh,,1 Season,,Goetz, Chris
51,"Indianapolis , IN",Grambling State,,2 Seasons,,Maxey, Curtis
56,"Newark , NJ",Texas Tech,,2 Seasons,,Arbubakrr, Hasson
24,"Raleigh , NC",Tennessee,Pittsburgh Steelers,4th season,NT,McCullers-Sanders, Dan
29,"Chicago , IL",Northwestern,,5 Seasons,,Kafka, Mike
30,"Provo , UT",Brigham Young,,5 Seasons,,Unga, Harvey
,"Minneapolis , MN",No College,,1 Season,,Norbeck, John
,"Blanchard , IA",Iowa,,1 Season,,Hagerty, Horse
42,"Springfield , OH",Michigan State,,3 Seasons,,Threats, Jabbar
104,"Stockton , CA",Miami (Ohio),,2 Seasons,,Emerick, Bob
25,,James Madison,,1 Season,,Harold, Sage
29,"Piscataway , NJ",Boise State,New Orleans Saints,8th season,DB,Wilson, Kyle
65,"Delaware Co. , PA",Princeton,,6 Seasons,,Chandler, Karl
23,"Waconia , MN",Minnesota,Baltimore Ravens,3rd season,TE,Williams, Maxx
37,,Wisconsin,,0 Season,,Johnson, Ben
70,"Johnson City , NY",Penn State,,1 Season,,Campbell, Bob
58,"Beaumont , TX",Texas-Arlington,,13 Seasons,,Odom, Cliff
23,"Baton Rouge , LA",Southern Mississippi,Oakland Raiders,2nd season,RB,Richard, Jalen
47,"San Diego , CA",Utah,,2 Seasons,,Embray, Keith
23,"Chicago , IL",Ball State,New Orleans Saints,1st season,WR,Williams, Jordan
30,"Los Angeles , CA",Oregon,,4 Seasons,,Johnson, Jeremiah
39,"Montgomery , AL",Troy,,1 Season,,Allen, Matt
29,"Hampton , VA",Tulsa,,0 Season,,Marion, Brennan
48,"San Jose , CA",California,,8 Seasons,,Hall, Rhett
40,"Knoxville , TN",Marshall,,11 Seasons,,Pennington, Chad
,"Holyoke , MA",Fordham,,1 Season,,Manning, Jim
32,"Plymouth , MN",Northern Iowa,,0 Season,,Pedescleaux, Everette
25,"Modesto , CA",Fresno State,Los Angeles Chargers,3rd season,WR,Burse, Isaiah
65,"Pittsburgh , PA",Penn State,,9 Seasons,,Laslavic, Jim
42,"Denver , CO",Missouri Southern State,,12 Seasons,,Thrash, James
49,"Orlando , FL",Alabama,,2 Seasons,,Rayam, Thomas
30,"Fort Myers , FL",Michigan State,,3 Seasons,,Ware, Jeremy
27,"Jonesboro , GA",Lehigh,,4 Seasons,,Rackley, Will
78,"Spruce Pine , NC",North Carolina State,,5 Seasons,,Gibson, Claude
33,"Anaheim , CA",California-Davis,,9 Seasons,,Fells, Daniel
54,"Nashville , TN",Tennessee State,,1 Season,,Walton, Riley
45,,Hofstra,,1 Season,,Damas, Herve
64,"Chicago , IL",Colorado,,7 Seasons,,Westbrooks, Greg
,"Lincoln , NE",Nebraska,,5 Seasons,,Richards, Ray
73,"Dallas , TX",North Texas,,1 Season,,Sanders, Bob
72,"Savannah , GA",Bethune-Cookman,,1 Season,,Washington, Dick
25,,Tennessee,Kansas City Chiefs,5th season,QB,Bray, Tyler
37,"Rosebud , TX",Texas Christian,,11 Seasons,,Tomlinson, LaDainian
,"Buffalo , NY",Buffalo,,1 Season,,Voss, Doc
58,"Lumberton , NC",North Carolina,,12 Seasons,,Thompson, Donnell
72,"Birmingham , AL",North Central,,5 Seasons,,Carr, Levert
55,"Denver , CO",Wyoming,,2 Seasons,,Weil, Jack
,"Dallas , TX",Southern Methodist,,10 Seasons,,Mays, Jerry
50,"Rock Hill , SC",North Carolina Central,,9 Seasons,,Massey, Robert
24,,New Mexico State,,1 Season,,Franklin, Austin
54,"Oakland , CA",Fresno State,,3 Seasons,,Taylor, Gene
64,"Birmingham , AL",Alabama,,3 Seasons,,Davis, Ricky
24,"Tucson , AZ",Arizona,Chicago Bears,4th season,RB,Carey, Ka'Deem
88,"Los Angeles , CA",California,,3 Seasons,,Schabarum, Pete
39,"Cincinnati , OH",Purdue,,3 Seasons,,Nugent, David
24,,Clemson,Cincinnati Bengals,2nd season,DT,Williams, DeShawn
76,"Bernardsville , NJ",Maryland,,1 Season,,Kirchiro, Bill
37,"Detroit , MI",Minnesota,,2 Seasons,,Johnson, Ron
24,,Auburn,Miami Dolphins,1st season,OT,Young, Avery
32,"Bound Brooks , NJ",Rutgers,,3 Seasons,,Renkart, Brandon
,"Anaconda , MT",Montana,,2 Seasons,,Lazetich, Bill
26,"Pensacola , FL",Alabama,,4 Seasons,,Richardson, Trent
26,"Thibodaux , LA",Auburn,Los Angeles Chargers,2nd season,CB,Reed, Trovon
59,"Columbia , MS",Mississippi State,,10 Seasons,,Johnson, Kenny
,"Brooklyn , NY",Springfield,,1 Season,,Hall, Harold
46,"Sacramento , CA",USC,,10 Seasons,,Sehorn, Jason
35,"Gulfport , MS",LSU,,10 Seasons,,Peterman, Stephen
25,,Maine,,1 Season,,James, Kendall
24,"Del Rio , TX",Colorado State,Oakland Raiders,2nd season,MLB,James, Cory
36,"Cudahy , WI",Michigan,,3 Seasons,,Navarre, John
,North Battleford Canada,Gonzaga,,6 Seasons,,Hare, Ray
23,"Moreno Valley , CA",Oregon State,Baltimore Ravens,Rookie,RB,Ortiz, Ricky
,,Franklin & Marshall,,1 Season,,Jamieson, Rob
31,,Utah,,1 Season,,Godfrey, Bradon
80,"Chicago , IL",Purdue,,2 Seasons,,Sabal, Ron
46,"Council Bluffs , IA",Notre Dame,,2 Seasons,,Ratigan, Brian
60,"La Grange , GA",Tennessee-Chattanooga,,6 Seasons,,Cater, Greg
25,"Baltimore , MD",Virginia Tech,Chicago Bears,4th season,CB,Fuller, Kyle
22,,Nicholls State,New York Jets,Rookie,OT,Bordelon, Chris
70,"Long Beach , CA",San Diego State,,1 Season,,Edwards, Lloyd
53,"Inverness , FL",Florida,,2 Seasons,,Easmon, Ricky
52,"Holyoke , MA",Colgate,,4 Seasons,,Gamble, Kenny
,,Syracuse,,1 Season,,Sebo, Sam
25,"Tacoma , WA",Oregon State,Buffalo Bills,4th season,DE,Crichton, Scott
25,"Cincinnati , OH",Michigan State,Kansas City Chiefs,1st season,LB,Rush, Marcus
,"Houston , TX",Tulane,,4 Seasons,,Dawson, JaJuan
34,"Santa Monica , CA",UCLA,,8 Seasons,,Ware, Matt
,,South Carolina State,,1 Season,,Johnson, Jim
,"Sykesville , PA",Michigan,,1 Season,,Madar, Elmer
31,"Los Angeles , CA",Notre Dame,,3 Seasons,,Lambert, Terrail
27,"Tacoma , WA",Eastern Washington,,1 Season,,Edwards, Nicholas
36,"Goshen , IN",Indiana,,9 Seasons,,Dielman, Kris
52,"New York , NY",Penn State,,2 Seasons,,Alexander, Mike
38,"Wichita , KS",Kansas State,,2 Seasons,,Eby, Andy
22,"Oldsmar , FL",Clemson,Los Angeles Chargers,Rookie,WR,Scott, Artavis
,"Winnsboro , LA",Louisiana Tech,,1 Season,,Martin, Caleb
61,"Houston , TX",Arkansas,,12 Seasons,,Thielemann, R.C.
39,"Sioux Falls , SD",Baylor,,0 Season,,Watton, Chris
28,"Miami , FL",Central Michigan,Pittsburgh Steelers,8th season,WR,Brown, Antonio
31,,Nebraska,,1 Season,,Peterson, Todd
34,"St. Petersburg , FL",Penn State,,3 Seasons,,Phillips, Anwar
22,"Daphne , AL",Alabama,Washington Redskins,Rookie,OLB,Anderson, Ryan
32,"Paterson , NJ",Miami (Fla.),Carolina Panthers,11th season,TE,Olsen, Greg
25,"Grand Blanc , MI",Bowling Green State,Arizona Cardinals,2nd season,LB,Martin, Gabe
65,"East Wenatchee , WA",Idaho,,2 Seasons,,Hall, Randy
39,"Santa Clara , CA",Arizona State,,4 Seasons,,Jackson, Lenzie
68,"Waco , TX",Abilene Christian,,3 Seasons,,Walton, Wayne
43,"Alexander City , AL",Alabama,,2 Seasons,,Ford, Brad
,"Put in Bay , OH",Bowling Green State,,1 Season,,Ladd, Jim
28,"Burlington , IA",Northwestern (Ia),Houston Texans,3rd season,LB,Peters, Brian
42,"Anniston , AL",North Carolina,,2 Seasons,,Mays, Kivuusama
32,"Cameron , TX",Texas,,1 Season,,Pittman, Billy
36,"Beaufort , SC",Clemson,,2 Seasons,,Washington, Donnell
30,,Texas Christian,,2 Seasons,,Richmond, Nic
33,"Bellevue , WA",Whitworth,,2 Seasons,,Allan, Michael
45,"Denver , CO",Arkansas,,2 Seasons,,Dickerson, Ron
24,"West Burlington , IA",Iowa,Denver Broncos,1st season,TE,Krieger-Coble, Henry
27,"Philadelphia , PA",Temple,,2 Seasons,,Youboty, John
,"Detroit , MI",Michigan State,,1 Season,,Arena, Tony
53,"Portsmouth , VA",Texas A&M - Kingsville,,5 Seasons,,Jefferson, James
70,"San Francisco , CA",UCLA,,2 Seasons,,Beban, Gary
34,"Cincinnati , OH",Cincinnati,,6 Seasons,,Frazier, Andre
30,"Long Beach , CA",California,Tampa Bay Buccaneers,10th season,WR,Jackson, DeSean
57,"Los Angeles , CA",Hawaii,,1 Season,,Quarles, Bernard
80,"Spring Hope , NC",Wofford,,2 Seasons,,Richardson, Jerry
,"Pittsburgh , PA",Pittsburgh,,1 Season,,Itzel, Jack
25,"Overland Park , KS",Kansas,Oakland Raiders,3rd season,MLB,Heeney, Ben
,"Clifton Heights , PA",No College,,1 Season,,Fagioli, Carl
34,,Pennsylvania,,0 Season,,Thompson, Duvol
30,"Toronto , Ontario",Bishop's University,,1 Season,,Gore, Shawn
56,"Griffin , GA",Tennessee,,11 Seasons,,Gault, Willie
,"Tarentum , PA",Pittsburgh,,2 Seasons,,Weisenbaugh, Heinie
31,"Fort Lauderdale , FL",Connecticut,Indianapolis Colts,9th season,FS,Butler, Darius
42,"Atlanta , GA",Mississippi State,,8 Seasons,,Favors, Greg
37,"Merrillville , IN",Indiana,,3 Seasons,,Osika, Craig
2017,,West Virginia,Philadelphia Eagles,Rookie,C,Orlosky, Tyler
30,"Iowa City , IA",Purdue,,4 Seasons,,King, Brandon
84,"Chicago , IL",Wisconsin,,1 Season,,Amundsen, Norm
,"Joliet , IL",Northwestern,,4 Seasons,,Rentner, Pug
,"Long Branch , NJ",Georgetown,,3 Seasons,,Tomaini, Johnny
59,"Birmingham , AL",California,,2 Seasons,,Eddings, Floyd
26,"Pensacola , FL",Connecticut,Atlanta Falcons,3rd season,WR,Williams, Nick
,"Milwaukee , WI",Wisconsin,,9 Seasons,,Kindt, Don
45,"Morgan City , LA",Syracuse,,4 Seasons,,Dar Dar, Kirby
46,"Atlanta , GA",Auburn,,3 Seasons,,Barlow, Corey
23,"Philadelphia , PA",Notre Dame,Houston Texans,2nd season,WR,Fuller, Will
36,"Northfield , MN",Northern Iowa,,4 Seasons,,Setterstrom, Chad
,"Penfield , IL",No College,,4 Seasons,,Whalen, Bill
34,"Fort Polk , LA",William & Mary,,4 Seasons,,Thompson, Dominique
,"Grass Valley , CA",Nevada,,1 Season,,Talcott, Don
69,"Southbridge , MA",Boston College,,10 Seasons,,Fitzgerald, John
46,Nu'uli American Samoa,Hawaii,,8 Seasons,,Tanuvasa, Maa
64,Dublin Ireland,Auburn,,9 Seasons,,O'Donoghue, Neil
32,"Fort Worth , TX",Rice,,7 Seasons,,Casey, James
41,"Clifton , TX",Texas A&M,,10 Seasons,,Campbell, Dan
29,"Drummond , MT",Montana,Los Angeles Rams,5th season,RB,Reynolds, Chase
24,"Clarksville , MD",Wake Forest,Houston Texans,3rd season,CB,Johnson, Kevin
62,"Normandy , TN",Tennessee State,,1 Season,,Johnson, Danny
24,"Kearney , NE",Kansas State,Chicago Bears,2nd season,C,Whitehair, Cody
74,"Louisville , KY",Michigan State,,2 Seasons,,Lewis, Sherman
34,"Minneapolis , MN",Notre Dame,,6 Seasons,,LeVoir, Mark
37,,Montana State,,1 Season,,Taylor, John
42,Frankfurt Germany,McNeese State,,9 Seasons,,Pittman, Kavika
62,"Tallahassee , FL",Pittsburgh,,5 Seasons,,Parrish, Don
33,"Palmdale , CA",San Diego State,,0 Season,,Martin, Joe
27,"Shelby Twp., Macomb Co. , MI",Grand Valley State,Tennessee Titans,5th season,G,Lelito, Tim
63,"New Orleans , LA",San Diego State,,3 Seasons,,Lewis, Reggie
49,,Iowa,,1 Season,,Quast, Brad
23,"Centerville , OH",Northwestern,Minnesota Vikings,Rookie,DL,Odenigbo, Ifeadi
,"Ladysmith , WI",Wisconsin,,1 Season,,Maves, Earl
52,"Baton Rouge , LA",Grambling State,,1 Season,,Nicholas, Calvin
30,,Clemson,,1 Season,,Chancellor, Chris
37,"Gainesville , FL",Georgia Southern,,9 Seasons,,Peterson, Adrian
29,"Beaverton , OR",Kansas State,,5 Seasons,,Mastrud, Jeron
31,"Omaha , NE",Montana,Buffalo Bills,10th season,K,Carpenter, Dan
,,California,,1 Season,,McCarthy, Jack
42,"Detroit , MI",Purdue,,2 Seasons,,Alford, Brian
71,"Baltimore , MD",Morgan State,,4 Seasons,,Nock, George
