Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
78,"New Bedford , MA",Michigan State,,1 Season,,Fontes, Wayne
52,"Beaumont , TX",Southern Methodist,,13 Seasons,,Ball, Jerry
47,,Syracuse,,1 Season,,Dees, Andre
33,,Wake Forest,,1 Season,,Ghee, Patrick
,"Orlando , FL",Temple,,1 Season,,Johnson, Lorne
32,,No College,,1 Season,,Scaccia, Fabrizio
47,"Fort Lauderdale , FL",Florida,,5 Seasons,,Dixon, Cal
36,,West Virginia,,3 Seasons,,Davis, Jason
,"Hurley , WI",Wisconsin,,1 Season,,Calligaro, Len
34,"Navasota , TX",Miami (Fla.),,1 Season,,Maxey, Marcus
,"Wakefield , MI",Northwestern,,4 Seasons,,Zorich, George
,", KY",No College,,2 Seasons,,Lanham, Charlie
31,"Arlington , TX",Missouri,,0 Season,,Ekwerekwu, Brad
,"Sugar Land , TX",Texas,,1 Season,,Kelley, Ed
,"Chicago , IL",Notre Dame,,1 Season,,Leahy, Bernie
36,"Carroll , IA",Iowa State,,3 Seasons,,Carstens, Jordan
25,"Miami , FL",Kansas State,Los Angeles Chargers,1st season,CB,Evans, Randall
26,"Topeka , KS",Youngstown State,,3 Seasons,,Mady, Lamar
,"Pender , NE",Nebraska,,1 Season,,Wenke, Ad
57,"San Antonio , TX",Georgia Tech,,1 Season,,Taylor, Jim Bob
40,"Great Falls , MT",Montana,,2 Seasons,,Neil, Dallas
68,"Pasadena , CA",San Diego State,,3 Seasons,,Reynolds, Tom
,"Crowley , LA",Louisiana-Lafayette,,7 Seasons,,Thomas, Orlando
27,"Los Angeles , CA",Boise State,,2 Seasons,,Young, Titus
,"Minneapolis , MN",Minnesota,,1 Season,,Capron, Ralph
35,"Angleton , TX",Purdue,,5 Seasons,,Gardner, Gilbert
77,"Tulare Co. , CA",San Diego State,,1 Season,,Martin, Larry
43,"Easley , SC",Virginia Tech,,1 Season,,Hagood, Jay
27,"Los Angeles , CA",Tennessee,Jacksonville Jaguars,6th season,DT,Jackson, Malik
68,"Bessemer , AL",Tuskegee,,1 Season,,May, Art
72,"Houston , TX",Tennessee State,,2 Seasons,,Johnson, Lee
58,"Barstow , CA",Abilene Christian,,2 Seasons,,Feasel, Greg
42,"White Plains , NY",Duke,,3 Seasons,,Farmer, Ray
35,,North Carolina State,,0 Season,,Hall, Tramain
53,,Northeastern,,1 Season,,Sandham, Todd
30,"Tarrytown , NY",Indiana,,2 Seasons,,Kirlew, Jammie
50,"St. Paul , MN",Notre Dame,,6 Seasons,,Eilers, Pat
25,"Matteson , IL",Tennessee,Kansas City Chiefs,4th season,G,Fulton, Zach
83,"Pittsburgh , PA",Miami (Fla.),,5 Seasons,,Johnson, Jack
,"Long Beach , CA",Los Angeles State,,2 Seasons,,Anderson, Ralph
29,"Georgetown , SC",South Carolina,,6 Seasons,,Geathers, Clifton
32,"Baton Rouge , LA",Grambling State,,2 Seasons,,Banks, Jason
30,,Florida State,,0 Season,,Garvin, Michael Ray
,"Ely , MN",Minnesota,,1 Season,,Perko, John
49,"Grand Haven , MI",Michigan,,4 Seasons,,Teeter, Mike
40,"Tullahoma , TN",Tennessee,,1 Season,,Hall, Jeff
78,"Louisville , KY",Kentucky,,9 Seasons,,Talamini, Bob
25,,New Mexico State,,2 Seasons,,Wallace, Davonte
50,"Denver , CO",Washington,,1 Season,,Erlandson, Tom Jr.
29,"Burlington , NC",North Carolina,Buffalo Bills,9th season,WR,Tate, Brandon
72,"Bakersfield , CA",Wyoming,,1 Season,,Marion, Jerry
72,"Klamath Falls , OR",Northwestern,,1 Season,,McCambridge, John
,"Treveskyn , PA",St. Vincent,,3 Seasons,,Manzini, Bap
27,"Miami , FL",Illinois,Los Angeles Chargers,7th season,DE,Liuget, Corey
29,"Kirkwood , MO",Boston College,New York Giants,7th season,OLB,Herzlich, Mark
26,,Hawaii,,1 Season,,Daley, Brenden
33,"St. Cloud , MN",Notre Dame,,7 Seasons,,Carlson, John
28,"Bakersfield , CA",Fresno State,New Orleans Saints,6th season,T,Harris, Bryce
58,"Dallas , TX",Texas Christian,,1 Season,,Talley, Stan
26,"Moncks Corner , SC",South Carolina,Cincinnati Bengals,4th season,OG,Johnson, T.J.
38,"Cleveland , OH",Wisconsin,,10 Seasons,,Chambers, Chris
34,"Dallas , TX",Baylor,,4 Seasons,,Allred, Colin
48,"Mobile , AL",Emporia State,,11 Seasons,,Lett, Leon
53,"Marrero , LA",LSU,,3 Seasons,,James, Garry
