player_id,total_value
1,66000000
2,51000000
3,56250000
4,47500000
5,32500000
6,40000000
7,32000000
8,15400000
9,36500000
10,33750000
11,33000000
12,32500000
13,6000000
14,30000000
15,1765000
16,16500000
17,16150000
18,14250000
19,18341876
20,17500000
21,4200000
22,15897658
23,3095000
24,10265742
25,141000000
26,114500000
27,66000000
28,4500000
29,8891810
30,8265106
31,2025000
32,7843422
33,1800000
34,135000000
35,15967200
36,52000000
37,57500000
38,23000000
39,27271240
40,26000000
41,15000000
42,9250000
43,3050000
44,1400000
45,50268088
46,4406640
47,4158150
48,141000000
49,105000000
50,104000000
51,90000000
52,102600000
53,85000000
54,8000000
55,15877312
56,15782990
57,18454286
58,4095336
59,1020000
60,895000
61,3546268
62,3491720
63,135000000
64,100000000
65,60400000
66,114500000
67,85000000
68,66000000
69,15967200
70,67500000
71,102600000
72,85000000
73,100000000
74,82500000
75,65200000
76,80500000
77,64000000
78,6800000
79,11641260
80,9258810
81,2025000
82,6733690
83,105000000
84,141000000
85,1720000
86,3402116
87,805000
88,805000
89,60000000
90,48000000
91,33250000
92,52500000
93,52281000
94,41000000
95,36700000
96,25200000
97,54000000
98,52000000
99,61795295
100,57500000
101,65200000
102,80500000
103,15209000
104,28085000
105,50000000
106,37000000
107,15209000
108,60400000
109,62000000
110,60000000
111,58000000
112,72000000
113,28085000
114,40500000
115,5000000
116,5749638
117,5575506
118,5324722
119,1200000
120,4293762
121,104000000
122,90000000
123,85000000
124,85000000
125,82500000
126,105000000
127,104000000
128,114500000
129,90000000
130,85000000
131,85000000
132,66000000
133,805000
134,3142732
135,3062792
136,720000
137,720000
138,32529380
139,21750000
140,21000000
141,18630868
142,12000000
143,135000000
144,23000000
145,44400000
146,43000000
147,42000000
148,50250000
149,50000000
150,50000000
151,30000000
152,28000000
153,46250000
154,40000000
155,50000000
156,37000000
157,60000000
158,48000000
159,12000000
160,4265902
161,1030000
162,4083482
163,3654808
164,3397180
165,64000000
166,62000000
167,60000000
168,58000000
169,72000000
170,82500000
171,64000000
172,15967200
173,62000000
174,60000000
175,58000000
176,72000000
177,84000000
178,60000000
179,45000000
180,2784524
181,1350000
182,2687600
183,2670320
184,2647840
185,2612368
186,645000
187,2575968
188,12663754
189,3095000
190,11596600
191,5750000
192,5000000
193,2000000
194,102600000
195,100000000
196,50000000
197,38000000
198,45000000
199,35500000
200,34000000
201,9250000
202,10550000
203,10000000
204,15000000
205,19675154
206,18190990
207,33250000
208,55000000
209,21500000
210,42040000
211,52500000
212,52281000
213,41000000
214,66500000
215,3366848
216,795000
217,3135828
218,3123920
219,3007012
220,2826896
221,30000000
222,40500000
223,40000000
224,12000000
225,55000000
226,21500000
227,80000000
228,40500000
229,40000000
230,52000000
231,12000000
232,57500000
233,42040000
234,14418360
235,55000000
236,50000000
237,10000000
238,45025000
239,45000000
240,34000000
241,44500000
242,22000000
243,42000000
244,2535028
245,1230000
246,1230000
247,1200000
248,1765000
249,1400000
250,5073852
251,1250000
252,4572102
253,4047880
254,3937904
255,65200000
256,80500000
257,15209000
258,60400000
259,28085000
260,24000000
261,31000000
262,23000000
263,22500000
264,29315818
265,4500000
266,13500000
267,8500000
268,12450000
269,4000000
270,12000000
271,15500000
272,50000000
273,30000000
274,28000000
275,46250000
276,9250000
277,60000000
278,58500000
279,44000000
280,54125000
281,50000000
282,1380000
283,2734536
284,2723292
285,2631900
286,2595736
287,2594576
288,46842000
289,46750000
290,17100000
291,42500000
292,17000000
293,32000000
294,45000000
295,9000000
296,25500000
297,33551874
298,16750000
299,8000000
300,31360824
301,62000000
302,72500000
303,41250000
304,53000000
305,66000000
306,66000000
307,55000000
308,21500000
309,45000000
310,9000000
311,25500000
312,33551874
313,16750000
314,13248048
315,3095000
316,2500000
317,9361642
318,5662228
319,41264500
320,40000000
321,29000000
322,12200000
323,18250000
324,51703000
325,47500000
326,56400000
327,27030000
328,45000000
329,27000000
330,44500000
331,1763000
332,1762500
333,1762000
334,1761000
335,1760000
336,3875720
337,1825000
338,3596436
339,895000
340,895000
341,3559644
342,3413520
343,50000000
344,37000000
345,60000000
346,48000000
347,33250000
348,42040000
349,52500000
350,28910000
351,28000000
352,14000000
353,27271240
354,26000000
355,19000000
356,15439098
357,14824238
358,14400000
359,12801646
360,9000000
361,11422158
362,10154954
363,36700000
364,45000000
365,9000000
366,25500000
367,25200000
368,33551874
369,36000000
370,28000000
371,28000000
372,23888912
373,17627000
374,22500000
375,16500000
376,645000
377,1935000
378,645000
379,2578408
380,2533740
381,15000000
382,36500000
383,40800000
384,32500000
385,13000000
386,18900000
387,30412254
388,22500000
389,22500000
390,28154382
391,7000000
392,25873672
393,18000000
394,65000000
395,97600000
396,48000000
397,48000000
398,58750000
399,34500000
400,80000000
401,62000000
402,72500000
403,84000000
404,41250000
405,8000000
406,31360824
407,23000000
408,30412254
409,22500000
410,22500000
411,28154382
412,2750000
413,3870380
414,3114256
415,2819280
416,1380000
417,1380000
418,2728044
419,2615236
420,17100000
421,16200000
422,21215638
423,15500000
424,15055000
425,25500000
426,24500000
427,15000000
428,16750000
429,17500000
430,12600000
431,1760000
432,1758000
433,1758000
434,1755000
435,1755000
436,1755000
437,845000
438,3261676
439,3235512
440,3146608
441,1510000
442,2912356
443,52281000
444,41000000
445,50000000
446,30000000
447,28000000
448,18600000
449,12050000
450,12000000
451,17250000
452,16500000
453,5057000
454,9900000
455,470000
456,8600592
457,8396516
458,2025000
459,16750000
460,32529380
461,8000000
462,31360824
463,16500000
464,21000000
465,26000000
466,8250000
467,4000000
468,11780138
469,11393496
470,8250000
471,1230000
472,1230000
473,1765000
474,1765000
475,1757000
476,1755000
477,1755000
478,18750000
479,18300000
480,18000000
481,22600000
482,15000000
483,19821226
484,17800000
485,22742636
486,27500000
487,9000000
488,4000000
489,12000000
490,33750000
491,43812000
492,37000000
493,17500000
494,24000000
495,7500000
496,6500000
497,66500000
498,53000000
499,66000000
500,65000000
501,51000000
502,7000000
503,27271240
504,26000000
505,25873672
506,18000000
507,2594576
508,645000
509,645000
510,645000
511,1769000
512,1765000
513,1765000
514,1765000
515,9000000
516,12000000
517,14708756
518,7250000
519,3250000
520,3095000
521,6000000
522,5000000
523,8279218
524,11750000
525,12882870
526,3095000
527,9000000
528,6000000
529,1755000
530,1755000
531,1755000
532,1755000
533,1755000
534,720000
535,1420000
536,2833268
537,2819648
538,2816404
539,46250000
540,9250000
541,36700000
542,25200000
543,32529380
544,10750000
545,10500000
546,15000000
547,15000000
548,15000000
549,18871768
550,9250000
551,18477166
552,2000000
553,1750000
554,6231240
555,1350000
556,5233638
557,30412254
558,22500000
559,22500000
560,21750000
561,28154382
562,21000000
563,7000000
564,25873672
565,2750000
566,2050000
567,2000000
568,7518394
569,3750000
570,7450740
571,6950156
572,1600000
573,1755000
574,1755000
575,1725000
576,570000
577,1710000
578,570000
579,18000000
580,4250000
581,4000000
582,8000000
583,10700000
584,3750000
585,13741900
586,13540186
587,12850988
588,10843976
589,10836078
590,10278976
591,6000000
592,24000000
593,20484332
594,10000000
595,17630166
596,7500000
597,13471308
598,12457650
599,97600000
600,48000000
601,48000000
602,60000000
603,17800000
604,22742636
605,27500000
606,15000000
607,9250000
608,1762500
609,1760000
610,1760000
611,1756500
612,1756500
613,1756000
614,1755000
615,1755000
616,5000000
617,2500000
618,9304310
619,2025000
620,7507470
621,11712492
622,8250000
623,10450986
624,5000000
625,5000000
626,1755000
627,1717500
628,570000
629,570000
630,1685000
631,1080000
632,2781468
633,1380000
634,2759480
635,2723392
636,2723392
637,1350000
638,21750000
639,21000000
640,10550000
641,10000000
642,15000000
643,4500000
644,8000000
645,4000000
646,8000000
647,15877312
648,15782990
649,4889636
650,4878196
