,Age,Birth_Place,College,Current_Team,Experience,Position,First_Name,Last_Name
81,64.0,"Tecumseh , NE",Nebraska,,6 Seasons,,Davis, Tony
82,29.0,"Atlanta , GA",LSU,Oakland Raiders,8th season,MLB,Riley, Perry
83,32.0,"Providence , RI",Boston College,Washington Redskins,11th season,FS,Blackmon, Will
84,24.0,,Nevada,Buffalo Bills,Rookie,DE,Seau, Ian
85,34.0,"Savannah , GA",Central Florida,,3 Seasons,,Carrington, Paul
86,45.0,"Shreveport , LA",UCLA,,9 Seasons,,Maddox, Tommy
87,25.0,"Fort Knox , KY",Georgia Southern,,3 Seasons,,Eubanks, Darius
88,37.0,,Virginia Tech,,0 Season,,Lewis, Kevin
89,35.0,"Long Beach , CA",Washington,,3 Seasons,,Johnson, Derrick
90,78.0,"New Bedford , MA",Michigan State,,1 Season,,Fontes, Wayne
91,52.0,"Beaumont , TX",Southern Methodist,,13 Seasons,,Ball, Jerry
92,47.0,,Syracuse,,1 Season,,Dees, Andre
93,33.0,,Wake Forest,,1 Season,,Ghee, Patrick
94,,"Orlando , FL",Temple,,1 Season,,Johnson, Lorne
95,32.0,,No College,,1 Season,,Scaccia, Fabrizio
96,47.0,"Fort Lauderdale , FL",Florida,,5 Seasons,,Dixon, Cal
97,36.0,,West Virginia,,3 Seasons,,Davis, Jason
98,,"Hurley , WI",Wisconsin,,1 Season,,Calligaro, Len
99,34.0,"Navasota , TX",Miami (Fla.),,1 Season,,Maxey, Marcus
100,,"Wakefield , MI",Northwestern,,4 Seasons,,Zorich, George
101,,", KY",No College,,2 Seasons,,Lanham, Charlie
102,31.0,"Arlington , TX",Missouri,,0 Season,,Ekwerekwu, Brad
103,,"Sugar Land , TX",Texas,,1 Season,,Kelley, Ed
104,,"Chicago , IL",Notre Dame,,1 Season,,Leahy, Bernie
105,36.0,"Carroll , IA",Iowa State,,3 Seasons,,Carstens, Jordan
106,25.0,"Miami , FL",Kansas State,Los Angeles Chargers,1st season,CB,Evans, Randall
107,26.0,"Topeka , KS",Youngstown State,,3 Seasons,,Mady, Lamar
108,,"Pender , NE",Nebraska,,1 Season,,Wenke, Ad
109,57.0,"San Antonio , TX",Georgia Tech,,1 Season,,Taylor, Jim Bob
110,40.0,"Great Falls , MT",Montana,,2 Seasons,,Neil, Dallas
111,68.0,"Pasadena , CA",San Diego State,,3 Seasons,,Reynolds, Tom
112,,"Crowley , LA",Louisiana-Lafayette,,7 Seasons,,Thomas, Orlando
113,27.0,"Los Angeles , CA",Boise State,,2 Seasons,,Young, Titus
114,,"Minneapolis , MN",Minnesota,,1 Season,,Capron, Ralph
115,35.0,"Angleton , TX",Purdue,,5 Seasons,,Gardner, Gilbert
116,77.0,"Tulare Co. , CA",San Diego State,,1 Season,,Martin, Larry
117,43.0,"Easley , SC",Virginia Tech,,1 Season,,Hagood, Jay
118,27.0,"Los Angeles , CA",Tennessee,Jacksonville Jaguars,6th season,DT,Jackson, Malik
119,68.0,"Bessemer , AL",Tuskegee,,1 Season,,May, Art
120,72.0,"Houston , TX",Tennessee State,,2 Seasons,,Johnson, Lee
121,58.0,"Barstow , CA",Abilene Christian,,2 Seasons,,Feasel, Greg
122,42.0,"White Plains , NY",Duke,,3 Seasons,,Farmer, Ray
123,35.0,,North Carolina State,,0 Season,,Hall, Tramain
124,53.0,,Northeastern,,1 Season,,Sandham, Todd
