,Age,Birth_Place,College,Current_Team,Experience,Position,First_Name,Last_Name
2386,61.0,"Redlands , CA",Redlands,,3 Seasons,,DeRoo, Brian
2387,,"Canton , OH",Ohio State,,10 Seasons,,James, Tommy
2388,,"Abbotsford , WI",U. of Pacific,,1 Season,,Laack, Galen
2389,56.0,"Myrtle Beach , SC",North Carolina State,,6 Seasons,,Abraham, Robert
2390,,"Port Ewen , NY",Rutgers,,1 Season,,Hasbrouck, John
2391,26.0,,Minnesota,,1 Season,,Carter, Michael
2392,63.0,"Florence , SC",South Carolina State,,13 Seasons,,Carson, Harry
2393,,"San Diego , CA",Los Angeles State,,5 Seasons,,Adams, John
2394,54.0,"Newark , NJ",Montclair State,,4 Seasons,,Knight, Leander
2395,30.0,"Longview , TX",Oklahoma,,4 Seasons,,Kelly, Malcolm
2396,39.0,"Riverside , CA",Miami (Fla.),,9 Seasons,,Franks, Bubba
2397,49.0,"Staten Island , NY",Rutgers,,10 Seasons,,Jenkins, James
2398,63.0,"Elberton , GA",Wake Forest,,7 Seasons,,Gaines, Clark
2399,,"Ocala , FL",Florida,,2 Seasons,,Young, Tyrone
2400,,"Medford , MA",Catholic,,2 Seasons,,Kerr, George
2401,88.0,"Washington , DC",Virginia,,6 Seasons,,Schroeder, Gene
2402,48.0,,Arizona State,,1 Season,,Cahoon, Victor
2403,56.0,"Long Branch , NJ",Arizona State,,15 Seasons,,Jeffcoat, Jim
2404,,"New Haven , CT",Colgate,,1 Season,,Volgenau, Elmer
2405,40.0,"Tupelo , MS",Notre Dame,,4 Seasons,,Jackson, Jarious
2406,,"Dodge City , KS",Colorado Mines,,1 Season,,Madden, Lloyd
2407,33.0,,Fresno State,,3 Seasons,,Denman, Chris
2408,41.0,"Houston , TX",Baylor,,5 Seasons,,Fletcher, Derrick
2409,50.0,"Los Angeles , CA",UCLA,,2 Seasons,,Zeno, Lance
2410,59.0,"New Orleans , LA",Southeastern Louisiana,,4 Seasons,,Favron, Calvin
2411,42.0,"Forsyth , GA",Fort Valley State,,6 Seasons,,Zellner, Peppi
2412,68.0,"Langdale , AL",Clemson,,5 Seasons,,Thompson, Dave
2413,37.0,"Fort Worth , TX",Texas Christian,,1 Season,,Goss, Jason
2414,60.0,"Little Rock , AR",Oklahoma,,4 Seasons,,Tabor, Philip
2415,,"Bryan , TX",Texas,,1 Season,,Weedon, Don
2416,25.0,"Fairfield , CA",Texas Christian,Los Angeles Chargers,4th season,CB,Verrett, Jason
2417,29.0,,Texas Christian,,1 Season,,Kirkpatrick, Jake
2418,,"Ozark , AR",Loyola Marymount,,1 Season,,Elsey, Earl
2419,27.0,"St. Paul , MN",Notre Dame,Minnesota Vikings,6th season,WR,Floyd, Michael
2420,36.0,,Northern Illinois,,0 Season,,Lee, Rob
2421,56.0,"Las Vegas , NV",Idaho State,,3 Seasons,,Machurek, Mike
2422,36.0,"Raleigh , NC",East Carolina,,3 Seasons,,Rimpf, Brian
2423,33.0,"Sumter , SC",Notre Dame,,4 Seasons,,Richardson, Mike
2424,37.0,Melbourne Australia,Hawaii,,11 Seasons,,McBriar, Mat
2425,,"Fitchburg , MA",Brown,,2 Seasons,,Lawrence, Ed
2426,26.0,"Mccomb , MS",Southern Mississippi,,1 Season,,Young, Jamal
2427,48.0,"Galveston , TX",Houston,,4 Seasons,,Ware, Andre
2428,77.0,,Texas-El Paso,,2 Seasons,,Evans, Jim
2429,55.0,"Phoenix , AZ",Northern Arizona,,7 Seasons,,Mandley, Pete
2430,30.0,,Florida A&M,,1 Season,,Vann, LeRoy
2431,,"Lorain , OH",Southeastern Louisiana,,4 Seasons,,Reisz, Albie
2432,,"Lincoln , NE",Washington,,1 Season,,Abel, Fred
2433,,,No College,,2 Seasons,,LaRosa, Paul
2434,39.0,"Montgomery , AL",Tennessee,,8 Seasons,,Weary, Fred
2435,23.0,,Cincinnati,Tennessee Titans,1st season,WR,McKay, Mekale
2436,53.0,"Jasper , TX",Lamar,,6 Seasons,,Seale, Eugene
2437,27.0,"Tulsa , OK",Oklahoma State,Buffalo Bills,2nd season,SAF,Gary, Shamiel
2438,,,Harvard,Buffalo Bills,Rookie,LB,Lindsey, Jacob
2439,,"Tyler , TX",Texas Christian,,1 Season,,Gibbs, Donnie
2440,95.0,"Vinton , IA",Iowa,,3 Seasons,,Youel, Jim
2441,,"Pittsburgh , PA",Ohio State,,2 Seasons,,Daniell, Jim
2442,27.0,"Scranton , PA",Penn State,Philadelphia Eagles,5th season,QB,McGloin, Matt
2443,60.0,"Big Spring , TX",Southern Methodist,,1 Season,,Choate, Putt
2444,35.0,"Toledo , OH",Penn State,,1 Season,,Iorio, Joe
2445,29.0,,Old Dominion,,1 Season,,Mayo, Deron
2446,54.0,"Tulsa , OK",Kansas State,,1 Season,,Epps, Jack
2447,33.0,"Memphis , TN",Central Arkansas,,5 Seasons,,Ford, Jacob
2448,27.0,"Chicago , IL",Illinois,Tennessee Titans,3rd season,LB,Staples, Justin
2449,24.0,,Florida State,Tennessee Titans,2nd season,OG,Matias, Josue
2450,,"Akron , OH",Mount Union,,3 Seasons,,Zimmerman, Corl
2451,27.0,"Richland Center , WI",Wisconsin,,3 Seasons,,Ewing, Bradie
2452,33.0,"Atlanta , GA",Wisconsin,,3 Seasons,,Calhoun, Brian
2453,52.0,"Coral Gables , FL",Indiana,,5 Seasons,,Waiters, Van
2454,29.0,"Kent , OH",Mount Union,Tampa Bay Buccaneers,7th season,WR,Shorts, Cecil
2455,,"Mansfield , LA",LSU,,5 Seasons,,Reynolds, M.C.
2456,,"Evansville , IN",No College,,1 Season,,Sanders, Joe
2457,59.0,"Independence , IA",North Texas,,3 Seasons,,Davidson, Greg
2458,29.0,,Prairie View A&M,,1 Season,,Adingupu, Chris
2459,,"New York , NY",Hobart,,1 Season,,King, Fred
2460,,"Milbank , SD",Minnesota,,8 Seasons,,Manders, Jack
2461,,"Birmingham , AL",Carnegie Mellon,,2 Seasons,,Newman, Obie
2462,24.0,,Miami (Fla.),,1 Season,,Hagens, Maurice
2463,30.0,"Laplace , LA",Jacksonville State,,2 Seasons,,Perrilloux, Ryan
2464,,"Chester , SC",Georgia,,8 Seasons,,Campbell, Marion
2465,28.0,"San Francisco , CA",Eastern Washington,Oakland Raiders,7th season,RB,Jones, Taiwan
2466,62.0,"Gordo , AL",San Diego State,,2 Seasons,,Pearson, Dennis
2467,23.0,,Harvard,New England Patriots,Rookie,OT,Rich, Max
2468,57.0,"Hamilton , Ontario",Arizona,,2 Seasons,,Schultz, Chris
2469,63.0,"Atlanta , GA",Georgia,,1 Season,,Harrison, Glynn
2470,71.0,"Columbus , OH",Cincinnati,,1 Season,,Pate, Lloyd
2471,25.0,"Memphis , TN",Northern Iowa,Arizona Cardinals,3rd season,RB,Johnson, David
2472,32.0,"Richlands , NC",North Carolina State,Miami Dolphins,12th season,DE,Williams, Mario
2473,36.0,"Wolf Point , MT",Carroll (Mont.),,7 Seasons,,Fitzsimmons, Casey
2474,60.0,"Rock Hill , SC",South Carolina,,7 Seasons,,Sanford, Rick
2475,53.0,"Rutherfordton , NC",East Tennessee State,,1 Season,,Forney, Phil
2476,29.0,"Flat River , MO",Fresno State,Carolina Panthers,4th season,LB,Jacobs, Ben
2477,,Triere Germany,No College,,1 Season,,Nesser, John
2478,22.0,England,Texas A&M,Baltimore Ravens,Rookie,OG,Eluemunor, Jermaine
2479,87.0,"Nashua , NH",Wake Forest,,2 Seasons,,Kissell, Ed
2480,49.0,"Detroit , MI",Michigan State,,1 Season,,Iaquaniello, Mike
2481,,"Hollandale , MS",Mississippi,,5 Seasons,,Gilbert, Kline
2482,29.0,,Georgia Southern,,2 Seasons,,Scott, Laron
2483,56.0,Braintree England,Washington,,10 Seasons,,Newsome, Vince
2484,27.0,"Sacramento , CA",Cal Poly-S.L.O.,Detroit Lions,4th season,DB,Jackson, Asa
2485,63.0,"Chester , PA",Temple,,12 Seasons,,Klecko, Joe
2486,,"Douglass , TX",Texas,,8 Seasons,,Emerson, Ox
2487,,"New York , NY",City College of New York,,1 Season,,Ilowit, Roy
2488,45.0,"Griffin , GA",Florida State,,2 Seasons,,Ellison, 'Omar
2489,26.0,"Houston , TX",West Virginia,Tampa Bay Buccaneers,4th season,RB,Sims, Charles
2490,77.0,"Hicksville , NY",Boston College,,9 Seasons,,Eisenhauer, Larry
2491,83.0,"Dyersburg , TN",Mississippi State,,1 Season,,Harness, Jim
2492,35.0,,Texas Christian,,0 Season,,Harrell, Reggie
2493,,"Brighton , MA",Villanova,,3 Seasons,,Pasquariello, Ralph
2494,38.0,"Salina , KS",Kansas State,Minnesota Vikings,15th season,CB,Newman, Terence
2495,,"Whiting , IN",Tennessee-Chattanooga,,6 Seasons,,Kopcha, Joe
2496,54.0,"Baltimore , MD",Texas-El Paso,,1 Season,,Linne, Larry
2497,,"Carroll , IA",East Central (OK),,2 Seasons,,Kane, Herb
2498,24.0,,Missouri,Denver Broncos,2nd season,OG,McGovern, Connor
2499,56.0,"Kenosha , WI",Missouri,,1 Season,,Pettey, Phil
2500,66.0,"St. Peter , MN",Minnesota,,7 Seasons,,Neils, Steve
2501,,"San Antonio , TX",Texas A&M,,5 Seasons,,Tassos, Damon
2502,24.0,"Burlington , NJ",Monmouth (N.J.),Arizona Cardinals,2nd season,TE,Valles, Hakeem
2503,23.0,,Alabama State,Oakland Raiders,Rookie,OT,Ware, Jylan
2504,24.0,,Iowa,Minnesota Vikings,Rookie,K,Koehn, Marshall
2505,63.0,"Waterbury , CT",Colorado State,,1 Season,,Opperman, Jim
2506,58.0,"Dayton , OH",Miami (Ohio),,6 Seasons,,Hall, Alvin
2507,61.0,"Omaha , NE",Nebraska,,6 Seasons,,Andrews, George
2508,,"Alexandria , MN",UCLA,,14 Seasons,,Dalby, Dave
2509,,,Florida,Carolina Panthers,Rookie,DE,Cox, Bryan
2510,28.0,,Delaware State,,1 Season,,Caroll, Andre
2511,40.0,"Aiken , SC",Vanderbilt,,2 Seasons,,Vinson, Fred
2512,63.0,"St. Louis , MO",Tulsa,,3 Seasons,,Fairchild, Greg
2513,84.0,"Heavener , OK",Arizona,,1 Season,,Davis, Jack
2514,72.0,"Springfield , IL",Long Beach State,,1 Season,,Newell, Steve
2515,53.0,"Provo , UT",Brigham Young,,3 Seasons,,Knight, Shawn
2516,22.0,,West Virginia,Buffalo Bills,Rookie,WR,Shorts, Daikiel
2517,35.0,"Phoenix , AZ",Northern Arizona,,4 Seasons,,Ernster, Paul
2518,75.0,"Jackson , MS",Tennessee State,,3 Seasons,,Davis, Rosey
2519,75.0,"Wahiawa , HI",Southern Methodist,,12 Seasons,,Schoenke, Ray
2520,21.0,,North Carolina A&T,Chicago Bears,Rookie,RB,Cohen, Tarik
2521,,,Unknown,,1 Season,,Erickson, Swede
2522,43.0,"Houston , TX",Notre Dame,,10 Seasons,,Taylor, Bobby
2523,27.0,"Clackamas , OR",Notre Dame,Dallas Cowboys,6th season,DB,Blanton, Robert
2524,41.0,"Fort Lauderdale , FL",Minnesota,,11 Seasons,,Carter, Tyrone
2525,35.0,"Queens , NY",Stanford,,8 Seasons,,Gordon, Amon
2526,,"Konawa , OK",Notre Dame,,3 Seasons,,Beams, Byron
2527,54.0,"Little Rock , AR",San Diego State,,1 Season,,Warren, Vince
2528,23.0,"Sulphur , LA",Mississippi State,Dallas Cowboys,2nd season,QB,Prescott, Dak
2529,35.0,"Philipsburg , PA",Maryland,Oakland Raiders,11th season,LS,Condo, Jon
2530,23.0,"Lakewood , OH",Michigan,Washington Redskins,Rookie,OG,Kalis, Kyle
2531,,"Erie , PA",Norwich,,7 Seasons,,Liebel, Frank
2532,21.0,,Wake Forest,Los Angeles Chargers,Rookie,CB,Watson, Brad
2533,64.0,"Ephrata , WA",Washington State,,3 Seasons,,Johnson, Eric
2534,33.0,"Gorham , ME",Northeastern,,1 Season,,Ballantyne, Kendrick
2535,,"Bethlehem , PA",Moravian,,1 Season,,Finn, Jack
2536,35.0,,Tennessee,,1 Season,,Leak, C.J.
2537,55.0,"Philadelphia , PA",East Carolina,,5 Seasons,,Vann, Norwood
2538,,"Brooklyn , NY",South Carolina,,6 Seasons,,DeLuca, Sam
2539,51.0,"Richmond , VA",Texas-El Paso,,11 Seasons,,Jacke, Chris
2540,48.0,"Jackson , MS",Mississippi State,,6 Seasons,,Young, Robert
2541,23.0,,Toledo,Detroit Lions,Rookie,OT,Norton, Storm
2542,37.0,"Denver , CO",Oregon State,,3 Seasons,,Jackson, LaDairis
2543,35.0,,Bridgewater College,,0 Season,,Taylor, Jermaine
2544,70.0,"Washington , GA",Georgia Tech,,4 Seasons,,Edmunds, Randy
2545,34.0,"Richmond , VA",Virginia,,4 Seasons,,Estes, Patrick
2546,,"Hampton , IA",Iowa State,,1 Season,,Reeve, Lew
2547,23.0,,Middle Tennessee State,Jacksonville Jaguars,Rookie,RB,Mathers, I'Tavius
2548,23.0,"Honolulu , HI",Eastern Illinois,Philadelphia Eagles,2nd season,OLB,Grugier-Hill, Kamu
2549,,,Maryland,New England Patriots,Rookie,DB,Likely, William
2550,23.0,,Utah,Jacksonville Jaguars,Rookie,DE,Dimick, Hunter
2551,26.0,"Miami , FL",Miami (Fla.),Houston Texans,6th season,RB,Miller, Lamar
2552,57.0,"Auburn , WA",Montana,,1 Season,,Hagen, Mike
2553,63.0,"Anderson , SC",Mississippi State,,1 Season,,Eidson, Jim
2554,,"Ramsey , NJ",Rutgers,,12 Seasons,,Pellington, Bill
2555,40.0,"Shaker Heights , OH",Michigan State,,2 Seasons,,Ledyard, Courtney
2556,,"Newark , NJ",Vanderbilt,,7 Seasons,,Rich, Herb
2557,26.0,"Andalusia , AL",Alabama,,3 Seasons,,Johnson, Nico
2558,,"New York , NY",Fordham,,2 Seasons,,Alexander, John
2559,61.0,"Culver City , CA",USC,,6 Seasons,,Hartwig, Carter
2560,34.0,"Reno , NV",Boise State,,9 Seasons,,Carr, Chris
2561,,,Auburn,Kansas City Chiefs,Rookie,WR,Stevens, Tony
2562,32.0,"Beaverton , OR",Portland State,,7 Seasons,,Senn, Jordan
2563,,"Washington , DC",Miami (Ohio),,2 Seasons,,Early, Guy
2564,27.0,,Louisiana-Monroe,,1 Season,,Leonard, Brent
2565,56.0,"Mount Pleasant , TX",Texas-Arlington,,1 Season,,Lewis, Darryl
2566,,"Dayton , OH",Denison,,4 Seasons,,Becker, Johnnie
2567,,"New Brighton , PA",Florida,,1 Season,,Klutka, Nick
2568,,"Robstown , TX",Rice,,8 Seasons,,Magee, John
2569,34.0,,Iowa,,1 Season,,Jackson, Tony
2570,23.0,Augsburg Germany,North Carolina Central,Tampa Bay Buccaneers,2nd season,CB,Smith, Ryan
2571,32.0,,William & Mary,,1 Season,,Atchison, Drew
2572,31.0,"Burlington , IA",Iowa,,3 Seasons,,King, Mitch
2573,,,,,,,Warren, null
2574,53.0,"Cincinnati , OH",Indiana,,1 Season,,Allen, Kevin
2575,33.0,"Tempe , AZ",Texas Tech,,2 Seasons,,Filani, Joel
2576,,"Shreveport , LA",Southern University,,1 Season,,Battle, Jim
2577,31.0,"Tallassee , AL",Alabama,,6 Seasons,,Caldwell, Antoine
2578,,"Chicago , IL",Illinois,,2 Seasons,,Halstrom, Bernie
2579,21.0,"Toledo , OH",Notre Dame,Cleveland Browns,Rookie,QB,Kizer, DeShone
2580,79.0,"Philadelphia , MS",LSU,,11 Seasons,,Cannon, Billy
2581,66.0,"South River , NJ",Tulsa,,11 Seasons,,Pearson, Drew
2582,49.0,"New Orleans , LA",LSU,,3 Seasons,,Haliburton, Ronnie
2583,45.0,"Torrance , CA",Arizona,,5 Seasons,,Levy, Chuck
2584,54.0,"Lake Worth , FL",Miami (Fla.),,7 Seasons,,Fagan, Kevin
2585,27.0,"Crystal Springs , MS",Louisiana Tech,,2 Seasons,,Johnson, Oscar
2586,22.0,,Auburn,Washington Redskins,Rookie,DB,Holsey, Joshua
2587,,"Nocona , TX",Tulsa,,5 Seasons,,Gibson, Joe
2588,47.0,"San Diego , CA",Oregon,,11 Seasons,,Thomason, Jeff
2589,33.0,,Kansas,,0 Season,,Reid, Nick
2590,,"Walla Walla , WA",St. Mary's (CA),,7 Seasons,,Ebding, Harry
2591,39.0,"Powder Springs , GA",Auburn,,1 Season,,Ware, Brad
2592,31.0,"New Orleans , LA",LSU,,5 Seasons,,Davis, Craig
2593,30.0,"Long Beach , CA",Boise State,New York Jets,10th season,T,Clady, Ryan
2594,30.0,American Samoa,Idaho,Arizona Cardinals,8th season,G,Iupati, Mike
2595,,"Ware , MA",Dartmouth,,3 Seasons,,Maloney, Red
2596,34.0,Guantanamo Bay` Cuba,San Diego State,,1 Season,,Pino, Chris
2597,,"Ocheyedan , IA",Chicago,,2 Seasons,,Thomas, John
2598,78.0,"Elizabeth , NJ",Boston U.,,1 Season,,Kaimer, Karl
2599,,,Alabama State,Detroit Lions,Rookie,TE,Barnes, Brandon
2600,71.0,"Cleveland , OH",Tulane,,2 Seasons,,Johns, Pete
2601,27.0,"Miami , FL",Florida State,Seattle Seahawks,3rd season,WR,Smith, Rodney
2602,43.0,"Santa Ana , CA",USC,,1 Season,,Keneley, Matt
2603,52.0,"Graceville , FL",Florida,,8 Seasons,,Anderson, Neal
2604,,"Garner , IA",Iowa,,2 Seasons,,Schleusner, Vin
2605,43.0,"Brooksville , FL",Auburn,,1 Season,,Goodson, Tyrone
2606,23.0,"Dallas , TX",Southern Mississippi,Tennessee Titans,1st season,DB,Reed, Kalan
2607,79.0,"Alliance , OH",Purdue,,2 Seasons,,Barnett, Tom
2608,,"Charleston , WV",West Virginia,,2 Seasons,,Davis, Carl
2609,,"Wellington , TX",Hardin-Simmons,,2 Seasons,,Cherry, Ed
2610,69.0,"Clinton , OK",Houston,,1 Season,,Bell, Carlos
2611,71.0,"El Paso , TX",Missouri,,2 Seasons,,Denny, Earl
2612,,"Orange , NJ",Syracuse,,15 Seasons,,Ringo, Jim
2613,,"Hillsboro , OH",Ohio Wesleyan,,1 Season,,Pearce, Harley
2614,,"Jamestown , ND",Oregon,,2 Seasons,,Leicht, Jake
2615,57.0,"York , PA",San Jose State,,2 Seasons,,Kearse, Tim
2616,,"Piedmont , SC",Clemson,,1 Season,,Timmons, Charlie
2617,29.0,"Lawton , OK",Southern Methodist,,6 Seasons,,McCann, Bryan
2618,,"Dallas , TX",Southern Methodist,,1 Season,,Goss, Don
2619,61.0,"Elkin , NC",Colorado State,,1 Season,,Norman, Ben
2620,23.0,"Rockford , MI",Michigan,New York Jets,Rookie,OG,Braden, Ben
2621,27.0,,Appalachian State,,3 Seasons,,LeGree, Mark
2622,,"Oshkosh , WI",Illinois,,1 Season,,Richards, Ted
2623,23.0,,Michigan State,Tampa Bay Buccaneers,Rookie,LB,Bullough, Riley
2624,,,Valdosta State,New England Patriots,Rookie,CB,Moore, Kenny
2625,73.0,"Pottsville , PA",Miami (Fla.),,6 Seasons,,Weisacosky, Ed
2626,,"Chicago , IL",Illinois,,6 Seasons,,Agase, Alex
2627,22.0,"Waco , TX",Baylor,Cincinnati Bengals,2nd season,NT,Billings, Andrew
2628,30.0,"Havre , MT",Montana,Tennessee Titans,8th season,WR,Mariani, Marc
2629,,"Garrison , NE",Lombard,,4 Seasons,,Lamb, Roddy
2630,40.0,"Little Rock , AR",Arkansas-Pine Bluff,,6 Seasons,,Akins, Chris
2631,33.0,,Eastern Washington,,1 Season,,Kimble, Eric
2632,,"Lincoln , NE",Nebraska-Kearney,,2 Seasons,,Marrow, John
2633,54.0,"Philadelphia , PA",California Lutheran,,1 Season,,Dickerson, Andy
2634,,"Brooklyn , NY",Hofstra,,1 Season,,Kosens, Terry
2635,55.0,"San Antonio , TX",Cal State-East Bay,,1 Season,,LaBeaux, Sandy
2636,49.0,", LA",Louisiana Tech,,1 Season,,Osborne, Eldonta
2637,86.0,"Dayton , OH",Colorado,,1 Season,,Figner, George
2638,35.0,"Colorado Springs , CO",Washington,,4 Seasons,,Alexander, Roc
2639,,"Bluett Falls , NC",Wake Forest,,2 Seasons,,O'Quinn, Red
2640,26.0,"Richmond , VA",Virginia Tech,Minnesota Vikings,4th season,CB,Exum, Antone
2641,26.0,,Nicholls State,,2 Seasons,,Felder, Bobby
2642,32.0,"Lubbock , TX",Colorado,Green Bay Packers,11th season,K,Crosby, Mason
2643,23.0,"Columbus , OH",Findlay,Chicago Bears,3rd season,SS,Jones-Quartey, Harold
2644,54.0,"Hollywood , FL",Youngstown State,,1 Season,,Thompson, Bob
2645,40.0,"Bakersfield , CA",USC,,3 Seasons,,Parker, Larry
2646,32.0,"Washington , DC",St. Paul's (VA),Washington Redskins,9th season,DB,Toler, Greg
2647,66.0,"Iowa City , IA",Arizona,,3 Seasons,,Arneson, Jim
2648,30.0,,Southern Oregon,,1 Season,,Gilmore, Jonathan
2649,53.0,"New Orleans , LA",Tulane,,1 Season,,Wenzel, Jeff
2650,56.0,"Passaic , NJ",Penn State,,4 Seasons,,Giacomarro, Ralph
2651,68.0,"Santa Maria , CA",Stanford,,7 Seasons,,Vataha, Randy
2652,,"Pittsfield , MA",Wake Forest,,4 Seasons,,Piccolo, Brian
2653,23.0,"Klamath Falls , OR",Montana,Cleveland Browns,2nd season,DE,Holmes, Tyrone
2654,35.0,"Fredericksburg , VA",Penn State,,0 Season,,Kimball, David
2655,29.0,"Avondale , AZ",USC,Minnesota Vikings,8th season,DE,Griffen, Everson
2656,31.0,"San Bruno , CA",Brigham Young,,4 Seasons,,Feinga, Ray
2657,50.0,"Okeechobee , FL",West Virginia,,3 Seasons,,Rembert, Reggie
2658,29.0,"Killeen , TX",Florida State,,3 Seasons,,Alexander, Mister
2659,53.0,"Nowata , OK",Kansas,,1 Season,,Nave, Steve
2660,53.0,"Sunbury , PA",Maryland,,1 Season,,Schankweiler, Scott
2661,55.0,"St. Paul , MN",Missouri,,2 Seasons,,Bell, Bobby
2662,55.0,"Williamson Co. , TX",Texas Christian,,9 Seasons,,Davis, Kenneth
2663,28.0,"Greenville , TX",New Mexico,Dallas Cowboys,7th season,OT,Bell, Byron
2664,,"Richmond , KY",Kentucky,,3 Seasons,,Phelps, Don
2665,45.0,"Bartlett , TN",Tennessee,,3 Seasons,,Davis, Ron
2666,53.0,"Birmingham , AL",Alabama,,1 Season,,Bell, Albert
2667,78.0,"Natchez , MS",Mississippi,,1 Season,,Kempinska, Charlie
2668,54.0,Lancaster Wales,American International,,1 Season,,Norris, Jon
2669,,"Columbus , OH",Miami (Ohio),,3 Seasons,,Jencks, Bob
2670,51.0,"Gary , IN",Illinois State,,3 Seasons,,Johnson, Jason
2671,65.0,"San Mateo , CA",U. of Pacific,,1 Season,,Bailey, Larry
2672,45.0,"Pensacola , FL",Louisiana Tech,,3 Seasons,,Shaw, Eric
2673,57.0,"Houston , TX",Texas,,1 Season,,Goodson, John
2674,,"Chicago , IL",Purdue,,7 Seasons,,Panfil, Ken
2675,53.0,Japan,Washington,,8 Seasons,,Pearson, J.C.
2676,22.0,,Louisville,San Francisco 49ers,Rookie,TE,Hikutini, Cole
2677,28.0,"La Mirada , CA",Utah,Oakland Raiders,4th season,SS,McGill, Keith
2678,24.0,"St. Louis , MO",Southeast Missouri State,Los Angeles Rams,1st season,WR,McRoberts, Paul
2679,,,,,,,Harris, Fatty
2680,,"Goldendale , WA",Washington State,,1 Season,,Lainhart, Porter
2681,28.0,,Texas A&M,,1 Season,,Allen, Matt
2682,54.0,"Buffalo , NY",Boston College,,1 Season,,Regent, Shawn
2683,68.0,"Waltham , MA",William & Mary,,1 Season,,Cambal, Dennis
2684,25.0,"Memphis , TN",Southern Mississippi,,1 Season,,Acosta, Corey
2685,69.0,"Sarrail , Alberta",New Mexico State,,11 Seasons,,Gerela, Roy
2686,54.0,"Grand Island , NE",Nebraska,,9 Seasons,,Rathman, Tom
2687,44.0,"Mineral Point , MO",Purdue,,1 Season,,Johnson, Pat
2688,,"Stockton , CA",Stanford,,3 Seasons,,Calvelli, Tony
2689,23.0,"Tucson , AZ",Stanford,Green Bay Packers,2nd season,ILB,Martinez, Blake
2690,24.0,"Akron , OH",Ohio State,Jacksonville Jaguars,2nd season,CB,Grant, Doran
2691,55.0,"Greenville , MS",Alcorn State,,5 Seasons,,Foules, Elbert
2692,26.0,"Richmond , VA",Delaware,Cleveland Browns,4th season,DB,Burley, Marcus
2693,24.0,"Jesup , GA",North Carolina State,Indianapolis Colts,3rd season,DT,McGill, T.Y.
2694,72.0,"Herrin , IL",Illinois,,9 Seasons,,Acks, Ron
2695,27.0,"Malden , MA",Connecticut,Atlanta Falcons,4th season,DB,Wreh-Wilson, Blidi
2696,,"Porterville , CA",USC,,2 Seasons,,Garlin, Don
2697,,,Oregon,Los Angeles Rams,Rookie,TE,Mundt, Johnny
2698,24.0,,Texas-San Antonio,,1 Season,,Okotcha, Bennett
2699,24.0,"Miami , FL",Notre Dame,Pittsburgh Steelers,4th season,DE,Tuitt, Stephon
2700,,"North Loup , NE",Whittier,,1 Season,,Finch, Olen
2701,59.0,"Richmond , VA",Florida State,,1 Season,,Carter, Walter
2702,23.0,,Michigan,Baltimore Ravens,Rookie,DE,Wormley, Chris
2703,44.0,"Royston , GA",Auburn,,11 Seasons,,Walker, Gary
2704,33.0,"Opelika , AL",LSU,,2 Seasons,,Oliver, Melvin
2705,32.0,"Silsbee , TX",Northern Iowa,,5 Seasons,,Keith, Brandon
2706,80.0,"Calhoun , LA",Grambling State,,3 Seasons,,Caleb, Jamie
2707,,"Taylorsville , MS",Mississippi,,1 Season,,Yelverton, Bill
2708,59.0,"St. Louis , MO",Missouri,,6 Seasons,,Petersen, Kurt
2709,25.0,"Metairie , LA",Tulsa,Los Angeles Chargers,2nd season,SS,McCoil, Dexter
2710,71.0,"Liberty , TX",Lamar,,1 Season,,Marcontell, Ed
2711,22.0,"Oakland , CA",San Jose State,Chicago Bears,Rookie,LB,Irving, Isaiah
2712,51.0,"Brooklyn , NY",Bucknell,,1 Season,,Beecham, Earl
2713,29.0,,Midwestern State,,6 Seasons,,Tanner, Andy
2714,,,Laval University,Tampa Bay Buccaneers,Rookie,TE,Auclair, Antony
2715,31.0,"Harvey , IL",Michigan State,,0 Season,,Key, Travis
2716,61.0,"Thomasville , GA",Auburn,,6 Seasons,,Andrews, William
2717,47.0,"Longview , WA",Oregon,,4 Seasons,,Castle, Eric
2718,69.0,"Mccook , NE",Ottawa (Kans.),,4 Seasons,,Hale, Dave
2719,54.0,"Enid , OK",Florida,,4 Seasons,,Zimmerman, Jeff
2720,39.0,,Florida State,,1 Season,,Thomas, Tarlos
2721,33.0,"Boca Raton , FL",Oregon State,,5 Seasons,,Piscitelli, Sabby
2722,40.0,"Lucedale , MS",Southern Mississippi,,4 Seasons,,Nix, John
2723,27.0,"Caldwell , ID",Boise State,New England Patriots,6th season,OLB,McClellin, Shea
2724,24.0,,Ohio State,New England Patriots,1st season,OG,Farris, Chase
2725,54.0,"Natchez , MS",Northwestern State-Louisiana,,1 Season,,Hall, James
2726,,"Waukegan , IL",Northwestern,,1 Season,,Kapter, Alex
2727,47.0,"Syracuse , NY",Georgia Tech,,11 Seasons,,Levens, Dorsey
2728,24.0,"Philadelphia , PA",Michigan,Detroit Lions,2nd season,OG,Glasgow, Graham
2729,36.0,,John Carroll,,1 Season,,Arth, Tom
2730,59.0,"Pearland , TX",Texas,,2 Seasons,,Churchman, Ricky
2731,31.0,,Troy,,3 Seasons,,Gales, Dion
2732,35.0,Vaasa Finland,Nebraska,,1 Season,,Evwaraye, Seppo
2733,35.0,,Vanderbilt,,0 Season,,Alford, Billy
2734,55.0,"Niagara Falls , NY",East Carolina,,4 Seasons,,Hamilton, Steve
2735,,"Detroit , MI",Michigan State,,4 Seasons,,Saidock, Tom
